0.000_1L:þ
Offsets:257,262,259,-43,-14,-59
P:roll,pitch,yaw;gyrox,gyroy,gyroz;accelx,accely,accelz;magx,magy,magz
10.419_1L:-47.72,-46.55,55.66_-41,121,-11_554,124,-60_504,-631,-96
10.437_1L:-46.59,-48.28,54.98_-28,88,-21_554,52,-35_504,-631,-96
10.454_1L:-45.42,-48.39,55.31_2,2,-65_554,113,-67_504,-631,-96
10.470_1L:-45.02,-46.84,57.22_23,-99,-81_514,170,-108_693,-439,-43
10.501_1L:-45.96,-45.28,59.75_-5,-121,-48_114,76,78_693,-439,-43
10.519_1L:-43.34,-44.02,61.90_-6,-149,-193_-138,-32,292_693,-439,-43
10.550_1L:-38.88,-38.56,64.00_38,-237,-257_-371,165,346_693,-439,-43
10.563_1L:-36.00,-34.39,67.33_88,-260,-254_-469,264,452_693,-439,-43
10.581_1L:-34.99,-31.31,71.24_30,-260,-176_-469,-52,456_693,-439,-43
10.609_1L:-38.26,-28.51,75.61_-9,-260,47_-469,-498,244_466,-593,197
10.624_1L:-41.53,-28.30,75.44_16,-10,160_142,-498,-43_466,-593,197
10.643_1L:-35.77,-30.75,71.42_13,215,-201_-243,-498,255_466,-593,197
10.671_1L:-30.81,-31.69,69.52_11,97,-220_-128,202,171_466,-593,197
10.689_1L:-26.86,-29.97,66.86_-4,19,37_-29,333,167_466,-593,197
10.706_1L:-29.22,-30.46,66.36_-5,32,142_-141,-220,195_466,-593,197
10.721_1L:-32.12,-29.19,65.70_-14,70,127_-188,-196,215_298,-607,297
10.753_1L:-34.48,-29.00,64.71_-11,96,141_-225,-175,233_298,-607,297
10.771_1L:-37.55,-29.80,63.64_7,89,200_-314,-172,252_298,-607,297
10.787_1L:-40.67,-31.32,62.19_3,121,225_-399,-249,251_298,-607,297
10.816_1L:-42.37,-33.33,60.22_3,150,160_-288,-336,209_298,-607,297
10.833_1L:-43.06,-34.40,58.04_48,129,121_-135,-213,148_298,-607,297
