0.000_1L:12.50,18.15,µ
Offsets:257,263,259,-31,0,-59
P:roll,pitch,yaw;gyrox,gyroy,gyroz;accelx,accely,accelz;magx,magy,magz
10.848_1L:22.56,-81.41,-41.56_87,-4,-5_542,186,-92_797,-67,30
10.877_1L:21.63,-80.57,-39.49_56,-4,-51_542,299,-118_797,-67,30
10.894_1L:18.18,-80.34,-35.20_30,-35,-30_487,444,-185_797,-67,30
10.912_1L:12.93,-80.35,-29.19_21,-57,-26_284,511,-106_797,-67,30
10.928_1L:3.12,-79.18,-16.92_80,-109,-107_110,453,38_797,-67,30
10.957_1L:-9.56,-75.30,0.84_194,-237,-242_-263,399,157_797,-67,30
10.974_1L:-14.52,-68.52,11.51_307,-261,-257_-481,449,486_784,-99,76
11.004_1L:-15.99,-61.77,19.20_284,-261,-257_-481,-512,570_784,-99,76
11.021_1L:-18.04,-57.37,26.52_167,-261,-208_-481,-376,570_784,-99,76
11.037_1L:-33.84,-56.27,31.80_20,-179,629_-481,-23,-359_784,-99,76
11.054_1L:-29.00,-57.65,25.08_49,192,45_196,-512,168_784,-99,76
11.084_1L:-21.54,-57.10,21.93_81,66,-255_-266,511,-13_784,-99,76
11.100_1L:-23.23,-56.31,23.66_30,-65,21_142,511,478_310,-542,421
11.118_1L:-28.70,-57.58,27.75_-84,-55,128_61,-49,288_310,-542,421
11.148_1L:-28.90,-56.37,28.27_-91,-14,57_112,-104,239_310,-542,421
11.166_1L:-29.36,-54.11,28.53_-12,0,57_129,-94,201_310,-542,421
11.183_1L:-29.63,-51.67,27.71_36,20,94_-61,-220,278_310,-542,421
11.200_1L:-31.62,-51.11,27.88_13,22,126_-105,-141,284_310,-542,421
11.229_1L:-34.33,-50.30,27.20_-32,69,217_-223,-170,251_353,-446,480
11.248_1L:-37.69,-53.07,25.74_-60,121,244_-239,-276,250_353,-446,480
11.277_1L:-39.39,-55.74,23.90_-58,143,203_-206,-308,267_353,-446,480
11.291_1L:-40.70,-58.89,21.29_-62,165,210_-220,-221,242_353,-446,480
11.308_1L:-42.34,-62.40,17.98_-72,192,273_-217,-139,186_353,-446,480
11.338_1L:-44.82,-62.96,15.64_-97,164,263_20,-201,91_353,-446,480
11.352_1L:-50.73,-62.65,18.33_-95,111,175_205,-32,36_580,-535,125
11.370_1L:-52.58,-66.22,18.36_-64,96,119_295,62,0_580,-535,125
11.386_1L:-51.80,-70.07,15.55_-19,93,138_425,146,-25_580,-535,125
11.416_1L:-54.06,-71.42,14.33_-13,66,200_371,141,-73_580,-535,125
11.434_1L:-59.96,-72.65,15.93_-46,36,260_405,123,-177_580,-535,125
11.452_1L:-67.26,-74.51,19.63_-80,56,215_542,-7,-59_580,-535,125
11.468_1L:-70.74,-77.00,23.28_-82,105,15_542,-87,14_724,-283,-235
